StationCode,LandUse,PercentUrbanLandUse,Year,SampleDate,SumPyrethroid_ToxicUnits
204SLE030,Urban,98.37352138,2014,6/24/14,0.262790698
535STC501,Agriculture,6.059115503,2012,6/27/12,0.261657579
504SACHMN,Agriculture,4.504586323,2015,8/26/15,0.260465116
207KIR020,Urban,81.68425055,2008,6/17/08,0.256589147
204ALA020,Urban,91.04046243,2012,6/12/12,0.256482703
402VRB0xx,Urban,25.815,2016,6/2/16,0.256348706
535MER007,Agriculture,2.320872274,2012,9/10/12,0.25503876
405SGRA2x,Urban,97.631651,2010,5/26/10,0.253452505
207WAL020,Urban,98.3264527,2016,7/14/16,0.24496124
541STC019,Agriculture,7.018792711,2013,7/10/13,0.244158229
901SJSJC9,Urban,78.80614893,2008,5/21/08,0.243410853
403STCEST,Urban,61.28938369,2015,5/26/15,0.242635659
204ALA020,Urban,91.04046243,2016,7/14/16,0.241873146
207WAL020,Urban,98.3264527,2015,6/23/15,0.23255814
723ARGRB1,Open,5.232759616,2011,10/11/11,0.22900115
309DAV,Open,21.02141928,2008,6/17/08,0.220930233
515SACKNK,Agriculture,6.146661143,2012,8/30/12,0.219379845
801SARVRx,Urban,62.14292678,2013,5/16/13,0.217054264
723NROTWM,Agriculture,5.323325137,2008,10/28/08,0.215617002
519AMNDVY,Urban,72.98571627,2011,8/19/11,0.215503876
635TROSED,Urban,25.46702477,2017,9/6/17,0.209119098
204ALA020,Urban,91.04046243,2014,6/24/14,0.208527132
315ATA,Urban,81.01692943,2008,5/22/08,0.208527132
305THU,Ag/Urban,29.94189118,2011,6/23/11,0.202325581
207LAU020,Urban,58.03184802,2012,6/12/12,0.201550388
310SLB,Open,10.75837743,2014,6/4/14,0.201550388
903SLRRBB,Urban,66.00203459,2016,5/18/16,0.201550388
305THU,Ag/Urban,29.94189118,2008,7/21/08,0.2
207LAU020,Urban,58.03184802,2015,6/24/15,0.197674419
402VRB0xx,Urban,25.815,2008,5/19/08,0.197674419
305THU,Ag/Urban,29.94189118,2012,6/5/12,0.190817238
541SJC501,Agriculture,6.419400856,2016,8/16/16,0.185271318
